Name,Type1,Type2,HP,Atk,Def,SpA,SpD,Spe,BST
Ludicolo,Water,Grass,80,70,70,90,100,70,480
Whimsicott,Grass,Fairy,60,67,85,77,75,116,480
Glalie,Ice,,80,80,80,80,80,80,480
Skuntank,Poison,Dark,103,93,67,71,61,84,479
Dachsbun,Fairy,,57,80,115,50,80,95,477
Mimikyu,Ghost,Fairy,55,90,80,50,105,96,476
Gastrodon,Water,Ground,111,83,68,92,82,39,475
Dewgong,Water,Ice,90,70,80,70,95,70,475
Cacturne,Grass,Dark,70,115,60,115,60,55,475
Hariyama,Fighting,,144,120,60,40,60,50,474
Garbodor,Poison,,80,95,82,60,82,75,474
Cinccino,Normal,,75,95,60,65,60,115,470
Maushold,Normal,,74,75,70,65,75,111,470
Xatu,Psychic,Flying,65,75,70,95,70,95,470
Grumpig,Psychic,,80,45,65,90,110,80,470
Whiscash,Water,Ground,110,78,73,76,71,60,468
Skarmory,Steel,Flying,65,80,140,40,70,70,465
Forretress,Bug,Steel,75,90,140,60,60,40,465
Magneton,Electric,Steel,50,60,95,120,70,70,465
Absol,Dark,,65,130,60,75,60,75,465
Amoonguss,Grass,Poison,114,85,70,85,80,30,464
Breloom,Grass,Fighting,60,130,80,60,60,70,460
Jumpluff,Grass,Flying,75,55,70,55,95,110,460
Tropius,Grass,Flying,99,68,83,72,87,51,460
Lunatone,Rock,Psychic,90,55,65,95,85,70,460
Solrock,Rock,Psychic,90,95,85,55,65,70,460
Basculin,Water,,70,92,65,80,55,98,460
Lanturn,Water,Electric,125,58,58,76,76,67,460
Sharpedo,Water,Dark,70,120,40,95,40,95,460
Mr. Mime,Psychic,Fairy,40,45,65,100,120,90,460
Galarian Mr. Mime,Ice,Psychic,50,65,65,90,90,100,460
Girafarig,Normal,Psychic,70,80,65,90,65,85,455
Primeape,Fighting,,65,105,60,60,70,95,455
Hitmonlee,Fighting,,50,120,53,35,110,87,455
Hitmonchan,Fighting,,50,105,79,35,110,76,455
Golbat,Poison,Flying,75,80,70,65,75,90,455
Dusclops,Ghost,,40,70,130,60,130,25,455
Jynx,Ice,Psychic,65,50,35,115,95,95,455
Masquerain,Bug,Flying,70,60,62,100,82,80,454
Sliggoo,Dragon,,68,75,53,83,113,60,452
Hisuian Sliggoo,Dragon,Steel,58,75,83,83,113,40,452
Chansey,Normal,,250,5,5,35,105,50,450
Venomoth,Bug,Poison,70,65,60,90,75,90,450
Sandslash,Ground,,75,100,110,45,55,65,450
Piloswine,Ice,Ground,100,100,80,60,60,50,450
Alolan Sandslash,Ice,Steel,75,100,120,25,65,65,450
Doublade,Steel,Ghost,59,110,150,45,49,35,448
Vigoroth,Normal,,80,80,80,55,55,90,440
Pelipper,Water,Flying,60,50,100,95,70,65,440
Rotom,Electric,Ghost,50,50,77,95,77,91,440
Seadra,Water,,55,65,95,95,45,85,440
Morpeko,Electric,Dark,58,95,58,70,58,97,436
Wigglytuff,Normal,Fairy,140,70,45,85,50,45,435
Misdreavus,Ghost,,60,60,60,85,85,85,435
Togedemaru,Electric,Steel,65,98,63,40,73,96,435
Tangela,Grass,,65,55,115,100,40,60,435
Gligar,Ground,Flying,65,75,105,35,65,85,430
Clodsire,Poison,Ground,130,75,60,45,100,20,430
Quagsire,Water,Ground,95,85,85,65,65,35,430
Volbeat,Bug,,65,73,75,47,85,85,430
Illumise,Bug,,65,47,75,73,85,85,430
Sneasel,Dark,Ice,55,95,55,35,75,115,430
Dugtrio,Ground,,35,100,50,50,70,120,425
Marowak,Ground,,60,80,110,50,80,45,425
Alolan Dugtrio,Ground,Steel,35,100,60,50,70,110,425
Alolan Marowak,Fire,Ghost,60,80,110,50,80,45,425
Metang,Steel,Psychic,60,75,100,55,80,50,420
Torracat,Fire,,65,85,50,80,50,90,420
Raboot,Fire,,65,86,60,55,60,94,420
Drizzile,Water,,65,60,55,95,55,90,420
Azumarill,Water,Fairy,100,50,80,60,80,50,420
Brionne,Water,,60,69,69,91,81,50,420
Dragonair,Dragon,,61,84,65,70,70,70,420
Shelgon,Dragon,,65,95,100,60,50,50,420
Zweilous,Dark,Dragon,72,85,70,65,70,58,420
Dewott,Water,,75,75,60,83,60,60,413
Servine,Grass,,60,60,75,60,75,83,413
Crocalor,Fire,,81,55,78,90,58,49,411
Pupitar,Rock,Ground,70,84,70,65,70,51,410
Gabite,Dragon,Ground,68,90,65,50,55,82,410
Sudowoodo,Rock,,70,100,115,30,65,30,410
Corsola,Water,Rock,65,55,95,65,95,35,410
Drakloak,Dragon,Ghost,68,80,50,60,50,102,410
Ponyta,Fire,,50,85,55,65,65,90,410
Pyukumuku,Water,,55,60,130,30,130,5,410
Sealeo,Ice,Water,90,60,70,75,70,45,410
Floragato,Grass,,61,80,63,60,63,83,410
Fraxure,Dragon,,66,117,70,40,50,67,410
Braixen,Fire,,59,59,58,90,70,73,409
Machoke,Fighting,,80,100,70,50,60,45,405
Combusken,Fire,Fighting,60,85,60,85,60,55,405
Monferno,Fire,Fighting,64,78,52,78,52,81,405
Murkrow,Dark,Flying,60,85,42,85,42,91,405
Ivysaur,Grass,Poison,60,62,63,80,80,60,405
Haunter,Ghost,Poison,45,50,45,115,55,95,405
Marshtomp,Water,Ground,70,85,70,60,70,50,405
Parasect,Bug,Grass,60,95,80,60,80,30,405
Charmeleon,Fire,,58,64,58,80,65,80,405
Quilava,Fire,,58,64,58,80,65,80,405
Wartortle,Water,,59,63,80,65,80,58,405
Prinplup,Water,,64,66,68,81,76,50,405
Frogadier,Water,,54,63,52,83,56,97,405
Bayleef,Grass,,60,62,80,63,80,60,405
Grovyle,Grass,,50,65,45,85,65,95,405
Grotle,Grass,,75,89,85,55,65,36,405
Togetic,Fairy,Flying,55,40,85,80,105,40,405
Archen,Rock,Flying,55,112,45,74,45,70,401
Roselia,Grass,Poison,50,60,45,100,80,65,400
Wailmer,Water,,130,70,35,70,35,60,400
Kadabra,Psychic,,40,35,30,120,70,105,400
Porygon,Normal,,65,60,70,85,75,40,395
Butterfree,Bug,Flying,60,45,50,90,80,70,395
Gloom,Grass,Poison,60,65,70,85,75,40,395
Munchlax,Normal,,135,85,40,40,85,5,390
Weepinbell,Grass,Poison,65,90,50,85,45,55,390
Graveler,Rock,Ground,55,95,115,45,45,35,390
Gothorita,Psychic,,60,45,70,75,85,55,390
Lickitung,Normal,,90,55,75,60,75,30,385
Kubfu,Fighting,,60,90,60,53,50,72,385
Onix,Rock,Ground,35,45,160,30,45,70,385
Poliwhirl,Water,,65,65,65,50,50,90,385
Fletchinder,Fire,Flying,62,73,55,56,52,84,382
Swadloon,Bug,Grass,55,63,90,50,80,42,380
Mawile,Steel,Fairy,50,85,85,55,55,50,380
Tinkatuff,Fairy,Steel,65,55,55,45,82,78,380
Nosepass,Rock,,30,45,135,45,90,30,375
Vullaby,Dark,Flying,70,55,75,45,65,60,370
Lampent,Ghost,Fire,60,40,60,95,60,55,370
Duosion,Psychic,,65,40,50,125,60,30,370
Hattrem,Psychic,,57,40,65,86,73,49,370
Morgrem,Dark,Fairy,65,60,45,75,55,70,370
Corvisquire,Flying,,68,67,55,43,55,77,365
Nidorina,Poison,,70,62,67,55,55,56,365
Nidorino,Poison,,61,72,57,55,55,65,365
Flaaffy,Electric,,70,55,55,80,60,45,365
Luxio,Electric,,60,85,49,60,49,60,363
Tyrunt,Rock,Dragon,58,89,77,45,45,48,362
Amaura,Rock,Ice,77,59,50,67,63,46,362
Spinda,Normal,,60,60,60,60,60,60,360
Elekid,Electric,,45,63,37,65,55,95,360
Omanyte,Rock,Water,35,40,100,90,55,35,355
Kabuto,Rock,Water,30,80,90,55,45,55,355
Tirtouga,Water,Rock,54,78,103,53,45,22,355
Anorith,Rock,Bug,45,95,50,40,50,75,355
Lileep,Rock,Grass,66,41,77,61,87,23,355
Krokorok,Ground,Dark,60,82,45,45,45,74,351
Buneary,Normal,,55,66,44,44,56,85,350
Rufflet,Normal,Flying,70,83,50,37,50,60,350
Mienfoo,Fighting,,45,85,50,55,50,65,350
Glimmet,Rock,Poison,48,35,42,105,60,60,350
Cranidos,Rock,,67,125,40,30,30,58,350
Growlithe,Fire,,55,70,45,70,50,60,350
Hisuian Growlithe,Fire,Rock,60,75,45,65,50,55,350
Pancham,Fighting,,67,82,62,46,48,43,348
Drifloon,Ghost,Flying,90,50,34,60,44,70,348
Rhyhorn,Ground,Rock,80,85,95,30,30,25,345
Staravia,Normal,Flying,55,75,50,40,40,80,340
Stufful,Normal,Fighting,70,75,50,45,50,50,340
Skiploom,Grass,Flying,55,45,50,45,65,80,340
Koffing,Poison,,40,65,95,60,45,35,340
Vibrava,Ground,Dragon,50,70,50,50,50,70,340
Pawniard,Dark,Steel,45,85,70,40,40,60,340
Staryu,Water,,30,45,55,70,55,85,340
Lombre,Water,Grass,60,50,50,60,70,50,340
Tentacool,Water,Poison,40,40,35,50,100,70,335
Cacnea,Grass,,50,85,40,85,40,35,335
Teddiursa,Normal,,60,80,50,50,50,40,330
Delibird,Ice,Flying,45,55,45,65,45,75,330
Skorupi,Poison,Bug,40,50,90,30,55,65,330
Phanpy,Ground,,90,60,60,40,40,40,330
Hippopotas,Ground,,68,72,78,38,42,32,330
Cufant,Steel,,72,80,49,40,49,40,330
Buizel,Water,,55,65,35,60,30,85,330
Chinchou,Water,Electric,75,38,38,56,56,67,330
Voltorb,Electric,,40,30,50,55,55,100,330
Hisuian Voltorb,Electric,Grass,40,30,50,55,55,100,330
Spoink,Psychic,,60,25,35,70,80,60,330
Zorua,Dark,,40,65,40,80,40,65,330
Trubbish,Poison,,50,50,62,40,62,65,329
Stunky,Poison,Dark,63,63,47,41,41,74,329
Drilbur,Ground,,60,85,40,30,45,68,328
Drowzee,Psychic,,60,48,45,43,90,42,328
Eevee,Normal,,55,55,50,45,65,55,325
Grimer,Poison,,80,80,50,40,50,25,325
Honedge,Steel,Ghost,45,80,100,35,37,28,325
Magnemite,Electric,Steel,25,35,70,95,55,45,325
Seel,Water,,65,45,55,45,70,45,325
Shellos,Water,,76,48,48,57,62,34,325
Exeggcute,Grass,Psychic,60,40,80,60,45,40,325
Alolan Grimer,Poison,Dark,80,80,50,40,50,25,325
Clefairy,Fairy,,70,45,48,60,65,35,323
Rowlet,Grass,Flying,68,55,55,50,50,42,320
Natu,Psychic,Flying,40,50,45,70,45,70,320
Oddish,Grass,Poison,45,50,55,75,65,30,320
Cubone,Ground,,50,50,95,40,50,35,320
Sandygast,Ghost,Ground,55,55,80,70,45,15,320
Litten,Fire,,45,65,40,60,40,70,320
Psyduck,Water,,50,52,48,65,50,55,320
Popplio,Water,,50,54,54,66,56,40,320
Pikachu,Electric,,35,55,40,50,50,90,320
Axew,Dragon,,46,87,60,30,40,57,320
Bulbasaur,Grass,Poison,45,49,49,65,65,45,318
Chikorita,Grass,,45,49,65,49,65,45,318
Turtwig,Grass,,55,68,64,45,55,31,318
Karrablast,Bug,,50,75,45,40,45,60,315
Darumaka,Fire,,70,90,45,15,45,50,315
Slowpoke,Water,Psychic,90,65,65,40,40,15,315
Squirtle,Water,,44,48,65,50,64,43,314
Piplup,Water,,53,51,53,61,56,40,314
Froakie,Water,,41,56,40,62,44,71,314
Fidough,Fairy,,37,55,70,30,55,65,312
Swablu,Normal,Flying,45,40,60,40,75,50,310
Gastly,Ghost,Poison,30,35,30,100,35,80,310
Sewaddle,Bug,Grass,45,53,70,40,60,42,310
Torchic,Fire,,45,60,40,70,50,45,310
Scorbunny,Fire,,50,71,40,40,40,69,310
Fuecoco,Fire,,67,45,59,63,40,36,310
Mudkip,Water,,50,70,50,50,50,40,310
Sobble,Water,,50,40,40,70,40,70,310
Treecko,Grass,,40,45,35,65,55,70,310
Sprigatito,Grass,,40,61,54,45,45,65,310
Abra,Psychic,,25,20,15,105,55,90,310
Mime Jr.,Psychic,Fairy,20,25,45,70,90,60,310
Charmander,Fire,,39,52,43,60,50,65,309
Cyndaquil,Fire,,39,52,43,60,50,65,309
Chimchar,Fire,,44,58,44,58,44,61,309
Sinistea,Ghost,,40,45,45,74,54,50,308
Tepig,Fire,,65,63,45,45,45,45,308
Oshawott,Water,,55,55,45,63,45,45,308
Snivy,Grass,,45,45,55,45,55,63,308
Fennekin,Fire,,40,45,40,62,60,60,307
Tandemaus,Normal,,50,50,45,40,45,75,305
Mankey,Fighting,,40,80,35,35,45,70,305
Machop,Fighting,,70,80,50,35,35,35,305
Venonat,Bug,Poison,60,55,50,40,55,45,305
Mareanie,Poison,Water,50,53,62,43,52,45,305
Shelmet,Bug,,50,40,85,40,65,25,305
Ferroseed,Grass,Steel,44,50,91,24,86,10,305
Carvanha,Water,Dark,45,90,20,65,20,65,305
Smoochum,Ice,Psychic,45,30,15,85,65,65,305
Yamask,Ghost,,38,30,85,55,65,30,303
Minccino,Normal,,55,50,40,40,40,75,300
Bellsprout,Grass,Poison,50,75,35,70,30,40,300
Sandshrew,Ground,,50,75,85,20,30,40,300
Geodude,Rock,Ground,40,80,100,30,30,20,300
Larvitar,Rock,Ground,50,64,50,45,50,41,300
Gible,Dragon,Ground,58,70,45,40,45,42,300
Baltoy,Ground,Psychic,40,40,55,40,70,55,300
Gimmighoul,Ghost,,45,30,70,75,70,10,300
Beldum,Steel,Psychic,40,55,80,35,60,30,300
Bronzor,Steel,Psychic,57,24,86,24,86,23,300
Alolan Sandshrew,Ice,Steel,50,75,90,10,35,40,300
Poliwag,Water,,40,50,40,40,40,90,300
Snorunt,Ice,,50,50,50,50,50,50,300
Dratini,Dragon,,41,64,45,50,50,50,300
Bagon,Dragon,,45,75,60,40,30,50,300
Goomy,Dragon,,45,50,35,55,75,40,300
Deino,Dark,Dragon,52,65,50,45,50,38,300
Vulpix,Fire,,38,41,40,50,65,65,299
Alolan Vulpix,Ice,,38,41,40,50,65,65,299
Tinkatink,Fairy,Steel,50,45,45,35,64,58,297
Duskull,Ghost,,20,40,90,30,90,25,295
Horsea,Water,,30,40,70,70,25,60,295
Shroomish,Grass,,60,40,60,40,60,35,295
Foongus,Grass,Poison,69,55,45,55,55,15,294
Sandile,Ground,Dark,50,72,35,35,35,65,292
Trapinch,Ground,,45,100,45,45,45,10,290
Bonsly,Rock,,50,80,95,10,45,10,290
Spheal,Ice,Water,70,40,50,55,50,25,290
Gothita,Psychic,,45,30,50,55,65,45,290
Solosis,Psychic,,45,30,40,105,50,20,290
Ditto,Normal,,48,48,48,48,48,48,288
Barboach,Water,Ground,50,48,43,46,41,60,288
Inkay,Dark,Psychic,53,54,53,37,46,45,288
Riolu,Fighting,,40,70,40,35,40,60,285
Paras,Bug,Grass,35,70,55,45,55,25,285
Chewtle,Water,,50,64,50,38,38,44,284
Slakoth,Normal,,60,60,60,35,35,30,280
Budew,Grass,Poison,40,30,35,50,70,55,280
Rockruff,Rock,,45,65,40,30,40,60,280
Arrokuda,Water,,41,63,40,40,30,66,280
Cottonee,Grass,Fairy,40,27,60,37,50,66,280
Mareep,Electric,,55,40,40,65,45,35,280
Fletchling,Normal,Flying,45,50,43,40,38,62,278
Kirlia,Psychic,Fairy,38,35,35,65,55,50,278
Nidoran♀,Poison,,55,47,52,40,40,41,275
Litwick,Ghost,Fire,50,30,55,65,55,20,275
Nidoran♂,Poison,,46,57,40,40,40,50,273
Wooloo,Normal,,42,40,55,40,45,48,270
Jigglypuff,Normal,Fairy,115,45,20,45,25,20,270
Wingull,Water,Flying,40,30,30,55,30,85,270
Dreepy,Dragon,Ghost,28,60,30,40,30,82,270
Surskit,Bug,Water,40,30,32,50,52,65,269
Diglett,Ground,,10,55,25,35,45,95,265
Hatenna,Psychic,,42,30,45,56,53,39,265
Impidimp,Dark,Fairy,45,45,30,55,40,50,265
Shinx,Electric,,45,65,34,40,34,45,263
Charcadet,Fire,,40,50,40,50,40,35,255
Hoppip,Grass,Flying,35,35,40,35,55,50,250
Swinub,Ice,Ground,50,50,40,30,30,50,250
Marill,Water,Fairy,70,20,50,20,50,40,250
Starly,Normal,Flying,40,55,30,30,30,60,245
Rookidee,Flying,,38,47,35,33,35,57,245
Zubat,Poison,Flying,40,45,35,30,40,55,245
Noibat,Flying,Dragon,40,30,35,45,40,55,245
Togepi,Fairy,,35,20,65,40,65,20,245
Makuhita,Fighting,,72,60,30,20,30,25,237
Happiny,Normal,,100,5,5,15,65,30,220
Lotad,Water,Grass,40,30,30,40,50,30,220
Cleffa,Fairy,,50,25,28,45,55,15,218
Igglybuff,Normal,Fairy,90,30,15,40,20,15,210
Paldean Wooper,Poison,Ground,55,45,45,25,25,15,210
Wooper,Water,Ground,55,45,45,25,25,15,210
Metapod,Bug,,50,20,55,25,25,30,205
